"","NID","year","beds","hotels"
"2",1,2010,36975,153
"21",1,2011,43407,163
"22",1,2012,45957,167
"23",1,2013,48504,171
"24",1,2014,50856,178
"3",2,2010,12215,73
"31",2,2011,14058,81
"32",2,2012,15534,87
"33",2,2013,15623,86
"34",2,2014,16634,88
"4",3,2010,6128,55
"41",3,2011,6163,55
"42",3,2012,6174,56
"43",3,2013,6292,53
"44",3,2014,6412,53
"5",4,2010,25733,202
"51",4,2011,26839,206
"52",4,2012,26677,205
"53",4,2013,28285,205
"54",4,2014,28249,197
"6",5,2010,2497,27
"61",5,2011,2642,31
"62",5,2012,2674,32
"63",5,2013,2749,33
"64",5,2014,2711,33
"7",6,2010,3103,40
"71",6,2011,3271,44
"72",6,2012,3199,43
"73",6,2013,3037,40
"74",6,2014,3044,42
"8",7,2010,6794,49
"81",7,2011,7145,49
"82",7,2012,7181,52
"83",7,2013,7734,54
"84",7,2014,8234,59
"9",8,2010,4196,25
"91",8,2011,4309,26
"92",8,2012,4502,25
"93",8,2013,4552,25
"94",8,2014,4842,28
"10",9,2010,4035,44
"101",9,2011,3694,43
"102",9,2012,3777,42
"103",9,2013,4103,45
"104",9,2014,4058,43
"11",10,2010,1215,21
"111",10,2011,1221,21
"112",10,2012,1314,21
"113",10,2013,1649,22
"114",10,2014,1733,23
"12",11,2010,4575,23
"121",11,2011,4745,27
"122",11,2012,4602,27
"123",11,2013,4959,29
"124",11,2014,4942,28
"13",12,2010,3712,38
"131",12,2011,3562,36
"132",12,2012,3575,37
"133",12,2013,3497,36
"134",12,2014,3531,37
